RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1869.6355057213382,1883.2440348465623,1896.3932308238104,1908.4130001255662,1925.798327433095,1939.851401643288,1954.026480155085,1961.1618124174786,1969.1743736481333,1973.4764656063269,1982.9406667147148,1997.1389728123984,2015.235969661565,2025.0558667365099,2035.0325368305078,2045.1051943397313,2059.1316181142615,2069.810504744427,2077.5347172712536,2082.742944708375,2083.10340454578,2087.3612799835373,2097.031089112031,2112.1441098162954,2128.466542929254,2144.2900717503085,2159.9446142619554,2169.826260333328,2182.598140913625,2190.9297466276175,2200.3782922905534,2202.660630222817,2205.6744497445825,2207.5979156452036,2213.4598672050342,2221.93256187683,2234.2197250723693,2246.209462755344,2259.5403031633646,2273.5361372312123,2286.1421282843685,2299.121717618989,2306.6633193714133,2311.571407003723,2314.118972540269,2318.6891326134814,2326.0627201517123,2332.8177498726222,2341.415401854946,2351.0932671619844,2361.6157558952027,2373.8697363931005,2383.3481379099544,2392.8548194689656,2397.825352815321,2400.430194936118,2399.57400897769,2401.941950635046,2406.4292974884816,2413.313536599917,2415.356863032525,2403.460905919088,2386.117470143564,2373.3182033811854,2372.8943980086483,2370.4896388638167,2366.4357759315417,2362.711500456649,2367.0995836715815,2366.0852999943763,2363.5319957352044,2364.0336110295057,2374.433896263103,2392.9225201051186,2417.9774053583765,2450.3366654760885,2489.3664337607765,2536.430757897532,2574.605275703783,2604.716446198929,2618.0935887713113,2637.7720045382875,2656.359234148275,2682.633121188642,2709.042248126205,2740.7094963967056,2773.3365559501704,2794.9440594847933,2813.7631876326564,2828.0522247501453,2841.853929250654,2841.7875289496055,2836.486446533147,2830.6513467950776,2827.8027124968394
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1488.063326594182,1502.6925402456502,1515.5007080812127,1543.2182202044837,1550.586737988082,1557.9403436731056,1556.1008547638978,1547.7912520265452,1535.2958483050857,1529.3453985339324,1534.2585723754057,1546.098656000629,1559.225442984503,1570.3633450116083,1581.508693597702,1591.7288845727003,1599.5140504578774,1600.6170897258257,1593.6301591367023,1580.3905498044417,1566.97979001777,1560.084368746796,1561.5381019577053,1576.1877581586639,1593.310941372881,1611.586702107818,1622.565095567207,1630.5170859133293,1635.1876812041673,1633.498480439472,1625.6676096482654,1613.2045381743092,1601.5484010437483,1596.6687136033286,1600.7611039525548,1610.1520184274334,1623.4826255358223,1634.6402747610352,1647.4604831889778,1658.7051482909026,1665.8516292866764,1665.202557120663,1657.4782944253134,1644.1916870116647,1634.5276045707353,1627.3020881182078,1632.2908373432306,1641.231280248849,1656.8293669101413,1672.9946345607398,1687.5866017205649,1699.66955699166,1706.3148140502633,1707.6789739070484,1704.0489072200764,1695.899350961126,1684.3908164978318,1676.5010676256034,1679.6132148485042,1690.9516694189642,1705.4561494605969,1708.0628930513546,1707.3747869209008,1701.878652418663,1699.9401954591199,1690.2658903534639,1671.0687799217208,1644.4216263016567,1620.8211951843837,1607.8431930312272,1604.812121247068,1610.7873036910337,1630.065622277975,1661.8256685249994,1700.306263484501,1732.2127816599384,1753.8070516751895,1769.3675681787624,1773.7895026921556,1774.166640975678,1770.2865089025356,1777.2927635458868,1791.6969936561213,1810.5479075387946,1832.8917634970599,1855.624266799686,1882.2790621405811,1902.9184148975314,1922.0307626658878,1928.6551633597562,1929.2375551608,1926.6370115015086,1920.7009586176634,1923.3619483834461,1928.516255279911
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1295.9477116784149,1304.3594443655631,1314.948835237235,1324.3547658991051,1328.906712069459,1331.8166936967739,1330.0344635143922,1325.8348526780735,1322.5301575513738,1320.8392156260597,1322.3253346174902,1326.4206505480322,1334.6487003126724,1338.4578004958585,1337.594853281557,1334.7944127350218,1334.6624690507854,1331.8427801799544,1326.9440596959598,1324.0175173710984,1319.1797027122477,1315.5382296818268,1310.0810768236208,1314.4535978809633,1322.441721186377,1329.5894488569877,1336.1745291227664,1338.1728763842914,1340.0988456025796,1339.0130948714282,1340.945311333206,1350.9814742629299,1361.1371447303245,1369.0142291627994,1369.5749390136916,1371.5842871164646,1375.5129245780486,1383.4881326805996,1388.4222432719482,1393.487178834371,1397.2547824168614,1398.1956965149652,1395.4171504451756,1391.7387430443216,1393.6693858915419,1392.9771216313893,1391.341916160819,1387.8025730566478,1391.9157653955917,1397.1531035174742,1406.5959420015326,1414.072458758996,1421.161167683679,1422.1470242339499,1419.4179310280738,1416.5231055460856,1414.2018208029467,1417.070213093949,1418.826352485487,1422.2368949763415,1425.54284238958,1420.0727397751637,1411.4160826339607,1402.7329512591223,1402.4418108994687,1404.8270805876957,1405.156350529146,1408.6531452448862,1411.7666241258012,1413.1889243218689,1411.4981263522652,1410.0684552955245,1415.7674499057198,1430.4419346505406,1457.1803529880367,1489.4966024661214,1519.5056191256638,1545.6990272212965,1557.4035729128964,1567.3166958833815,1569.4784064286569,1578.0232634772829,1580.9053780747406,1589.1902016546296,1597.75306822946,1610.223690643727,1624.1306220142396,1638.5826969183486,1651.8409799379824,1660.8703627153427,1659.5532364041244,1655.0495599573821,1646.8717340788678,1641.0834606377132,1647.5268579355363
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,990.8345008712841,1003.3766095795926,1006.4943587086882,1015.2023398370065,1016.7998745872978,1019.7951601297935,1023.2328974943257,1025.4590050844472,1027.800267652402,1029.1332390423447,1035.0013193930288,1041.6333040519216,1050.4764765553543,1057.6689746637255,1065.524097338011,1070.8968644501238,1075.4121026864182,1077.149454806566,1077.7814660992124,1078.5403586556577,1079.6838149435016,1081.5710130090574,1086.2267392626984,1093.9959403062928,1104.0165605614893,1113.3899823427387,1122.5177616705948,1130.2014173473972,1137.0823363089037,1141.076351471014,1142.0205301573305,1143.5090129446342,1144.5901655707598,1146.5743204496218,1150.142670624436,1155.123258386742,1168.3097495115353,1182.5638773438186,1196.9509611933106,1204.4293380053714,1211.064326378084,1217.9075955324363,1223.6743431461032,1228.5091463601702,1233.27562914665,1239.129389479015,1242.7585254102,1251.4112815000344,1262.086196694563,1277.9933715942084,1290.3942061809344,1302.5618365582473,1311.106063211059,1319.1278732570133,1321.1428800623087,1324.97947726954,1327.7627231186325,1340.12954159407,1349.2720170821967,1362.3028271974235,1366.9242984823309,1364.8916773373824,1359.4606695199416,1360.5593027848151,1372.9471466281018,1389.7387310587205,1407.0892873020393,1422.9612275476256,1439.09320262264,1449.6282915201205,1463.989569799274,1474.5942645625282,1498.9795839960461,1530.492485410963,1579.4705016145695,1631.594495332578,1688.866850853769,1738.91926580334,1776.574275143095,1800.0053858580827,1816.47974466853,1828.741006112477,1837.2179340050045,1844.7955677041177,1860.1945924752827,1876.6847606258252,1892.6933170507525,1900.1188213369107,1904.6238559694796,1901.3613318604241,1894.6746915177312,1883.9544289072792,1871.5829571103425,1861.5683361322947,1855.5716913024578
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1792.9101055895774,1805.2442021430609,1811.3699842221813,1820.5094492946846,1830.2320736575239,1842.2550964431643,1851.6800780073957,1854.425065367311,1859.0560657718327,1862.2281372407392,1870.0414194579528,1877.0999325492091,1892.7162223119199,1906.6634129487263,1923.5420882927638,1935.636723569826,1941.6839878016647,1945.7070664490154,1948.600698457971,1955.490986544021,1956.1633439910001,1952.6003213173037,1955.1775052970763,1969.9674578168394,1987.8717204736997,2007.0338304150375,2023.1701002126028,2039.708961472688,2052.7733766036454,2060.3344709310686,2062.81182046953,2064.431313953355,2058.2954345344265,2058.722302731158,2064.4651837456568,2079.529636126673,2094.886153959547,2108.7553604046007,2124.9479033095718,2140.5378461054015,2153.0545505585214,2164.300927372928,2170.5358882230325,2171.281609282795,2168.4168433924046,2163.7410225162926,2164.789083715935,2167.4046286611874,2176.431130370174,2189.6501035328306,2203.3858376160124,2216.339327208022,2227.301772597728,2237.0529785702097,2242.9464140941636,2247.7954931481618,2245.262904588595,2243.280077986066,2243.489920827317,2251.051778851464,2258.697530665959,2247.8433227758637,2236.984520815443,2233.4913990630157,2248.2837836448857,2260.8524627424636,2273.3052256746714,2286.8930161417566,2302.869149484695,2313.6874779451027,2320.550304211377,2327.4280410942542,2346.3283637703726,2379.7226182377603,2424.720697805751,2471.6125614984044,2524.561350866279,2585.610534461654,2643.247313746048,2686.2032896251153,2713.607495654903,2731.487657272744,2738.377261239291,2760.7961886982334,2797.75525063291,2856.45434772593,2904.136703656122,2952.000483327323,2990.1376800566554,3025.890683342451,3034.155854192409,3029.80179738652,3002.153569893902,2982.096082356951,2966.294959749528
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1981.2610428968126,1993.5164116994365,2008.4397307260422,2017.846418169057,2028.8869690339025,2040.2661953684121,2046.9846692186484,2048.0428719147344,2050.14032318158,2055.2306907511,2064.297450951316,2070.2296856435164,2075.7804046762863,2082.7420718673716,2096.467679253358,2113.0400919230847,2128.094023493826,2130.0440169329936,2135.6019055955257,2134.4398161477466,2140.1062567675476,2134.591669145229,2138.150895180202,2145.8718124048223,2161.0058001201705,2176.372501531164,2188.335493660104,2199.602738036655,2210.019137443239,2215.4098886203815,2218.7900723446414,2216.9771382593035,2217.4579391713323,2216.9825952636706,2222.600774818156,2228.6741455907186,2236.65445481473,2244.9831065713383,2252.05948834304,2261.386964012912,2266.2916421803625,2271.351105867782,2273.2679524463574,2278.394310836214,2284.7081397982033,2290.098155234391,2290.227761351101,2289.6374181405376,2292.335593408278,2302.651351699752,2314.3993374288893,2329.4389427201013,2339.3958919678325,2347.6233133499436,2352.2133265165116,2353.4133587358683,2355.932918202207,2358.3897298160837,2366.262834939394,2371.904900824683,2374.8076137662656,2356.1534129678007,2336.1963973246266,2319.70285191983,2325.662280481469,2334.7842221142314,2349.601207569038,2364.622251015305,2377.39374935344,2387.3990947182456,2401.7308357946263,2417.2507112011417,2441.682321768334,2466.2978965937405,2501.416505575137,2550.5831876067377,2625.8303007420286,2723.2791852044475,2807.667541161428,2862.8226861925336,2889.4126352387416,2901.5002379069842,2912.5295736633266,2929.5435440363904,2961.015634072996,2990.7227667437523,3020.48017156583,3045.1877285552473,3071.104110446489,3082.007501290189,3077.3200166970955,3062.540972440318,3049.363250824366,3034.45077930245,3023.703691144737
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1763.5090106417704,1771.224127086863,1783.6588519946758,1792.6910872694637,1801.293633522333,1805.9929314112103,1808.935614540564,1821.4050270068485,1829.2297772695465,1836.4329647705213,1839.7764936252038,1847.6376456167452,1854.3224228404076,1852.8817499598806,1850.3271706839748,1846.9321983765494,1850.027993990711,1847.9985951184976,1845.0836960326947,1840.223176860483,1836.4235787164716,1834.1586430424159,1838.3090057427326,1843.7528899473082,1853.080948055562,1854.3691520411435,1856.490680525695,1858.4533883290537,1860.9723349325302,1864.3319025128424,1864.1515993756454,1868.707793958915,1870.1474547871587,1873.1501978853162,1875.398331534298,1877.8041902066725,1883.463914338644,1886.5470213911792,1890.9683707045233,1895.5021385904918,1898.7904061717982,1906.0774732131931,1909.4705888283254,1917.716113961442,1918.024707491041,1921.9080623576876,1921.3729952993313,1923.730287717507,1928.7603810402136,1933.420967884341,1937.1321793353468,1939.2035174395755,1939.143783310642,1944.4320563124338,1945.9903455314252,1955.4315869861027,1961.629554016331,1969.03947856294,1974.545115734539,1979.5745993345854,1983.0863418634713,1973.9182602066487,1963.4316323264995,1951.8114830932175,1954.8206545154392,1957.1891051417736,1958.1472887225252,1956.5558434221314,1963.160155379067,1978.5639623820834,2003.5300894197087,2031.6470664993244,2068.7658668579893,2114.6303413543455,2170.3589701458363,,,2378.5091324216532,2445.2963128483907,2496.9585604195536,2546.1985622410416,2607.093474246102,2658.994665155951,2729.343653105405,2792.0795498704574,2867.9927207751484,2934.6184947110473,2969.9297983031497,2996.038745744175,2993.174856137684,3005.4611308764906,2997.4562443136556,2992.991792166186,2986.21042812928,2991.4984206957283
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1156.6314880386599,1166.3918265585914,1180.6958393860748,1190.1724705816605,1199.0088369513005,1204.213874080286,1206.675324364862,1203.623939799797,1204.980564082549,1205.1663631530928,1213.8272370241546,1220.1061529827257,1234.016071462266,1241.508296033511,1250.0275731276686,1257.0195492706723,1261.3026322053452,1263.7037949072005,1260.4874800625716,1262.8629503221584,1269.3054763609366,1276.5819840543845,1279.2623221880488,1279.087700746341,1286.9878487450362,1294.6681657908093,1306.729909962832,1313.1219786207826,1322.180630289729,1325.684315685443,1325.2580936300824,1325.6496004468029,1323.7564250233627,1325.7735523846452,1326.7185933751673,1335.338280638756,1339.6805802929766,1346.1400518382484,1344.522836096392,1351.0944749127882,1356.5498050253846,1367.3201443157793,1366.5969669783024,1367.9412576551863,1369.9442818704376,1372.6379684685303,1374.1722033668784,1376.440192665766,1382.7609583465035,1392.0003673360184,1398.4387276929845,1412.349821165632,1418.3761535308604,1420.6213592454892,1419.3893160279624,1418.4974292922918,1416.0284339229404,1410.6592527327216,1409.5382515677054,1414.6758536837804,1420.2507273340916,1418.4643105871264,1413.5127054409725,1410.2038686513465,1410.1394968073885,1408.6952219777902,1406.4159834762936,1410.2863151795677,1414.9936371239423,1420.3249319893278,1421.9341479840105,1431.187145459467,1444.2116801607199,1467.1947847417514,1494.9468893524431,1532.8912220433788,1572.7267018012699,1609.050288540337,1634.7547873422177,1646.0983930929654,1654.9753115747412,1659.6222909652938,1671.6105266539112,1686.555594461663,1700.510931280245,1723.897031738804,1753.158856108996,1793.9046045861016,1823.63730128361,1834.84377644539,1833.0422602438432,1815.9587933907462,1796.3469427707014,1777.9958295761817,1772.0204512667149
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2329.5508543254887,2346.969940976786,2371.112399258897,2394.677563433457,2411.510281619663,2425.8316829052865,2440.649365631065,2453.5023434252084,2452.1212656334224,2438.961502114861,2428.2229573565473,2423.085061102435,2432.068721588348,2433.6834386347955,2442.94906060657,2457.4369339064356,2477.3368924393244,2493.2668439913714,2499.047788692014,2494.3835380167434,2493.9909505228147,2481.4453641677446,2478.320808983866,2464.125065347373,2468.975929259305,2476.45858714068,2490.9799693679965,2501.9811795842747,2517.353081490637,2530.4538675691483,2534.5255784022784,2523.3993922463305,2509.667002010756,2500.4271056471935,2497.912213279102,2494.1099860758336,2502.863033854074,2515.828111350294,2537.229791664363,2549.7254150000035,2559.1983696819457,2567.7425553569324,2571.6227408664795,2566.6156054027842,2554.1344502942156,2535.4680131427262,2530.1711565219557,2540.802065543986,2565.8399162790597,2585.560202628998,2608.482404324728,2623.180885459974,2647.0926871785305,2662.1542927789305,2675.9051086304403,2674.6870481547917,2659.6668540419387,2651.8137323872625,2653.4038450307835,2669.6159594020546,2687.7999306981146,2688.697006716135,2673.7113831495626,2643.388519667819,2617.5159502537613,2583.608279397028,2539.5376047146615,2491.1948249286156,2458.5125110330523,2437.0671861549176,2432.8579009833547,2434.117671736258,2452.7539199056896,2483.5269495976054,2522.106502543751,2568.2969965815396,2620.8718783607655,2675.103926043877,2724.1783732466365,2747.8649141851506,2763.1673759878413,2768.907399093577,2793.478766784212,2833.741831672365,2887.8899847820135,2944.0751712261613,3009.419749011194,3074.2606761833194,3137.109867280395,3174.00429125408,3181.1572553787482,3166.8403819477735,3126.79336949393,3096.6498046274833,3089.726391583619
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1448.676161283104,1457.2972944398487,1462.7008376742335,1466.4820594578819,1474.0779951887364,1482.0227589358913,1492.7291296518924,1497.0877126928183,1505.266761296722,1507.3694535388317,1511.3000297853262,1514.0681351593785,1519.32669452748,1521.3058742484204,1526.6173645897882,1535.9260621825551,1547.6036737645675,1552.1672988424575,1560.5285559490812,1563.2307889845974,1571.0568295698956,1568.3321920455958,1582.3206971041238,1587.6306988000051,1603.0361695649456,1614.5991397147068,1630.6493090769266,1639.8944745144618,1644.486797878881,1652.3543168758035,1662.5086738394666,1669.890698561932,1674.9316730682006,1671.37436661631,1678.7815770341676,1686.0647067809057,1698.8462150108978,1704.359367423,1707.1032858377366,1716.8730706988902,1726.3371107942094,1739.2201127621138,1749.4260683406221,1761.7263743613794,1768.1316603291198,1773.9813173437547,1772.637371456556,1775.1194933723514,1780.1024334902388,1789.9654885339614,1799.1883992651497,1805.5880143797817,1813.6522113960928,1824.7298999545148,1833.9924946561748,1841.0759495522097,1843.005145004271,1847.855902465734,1849.909131852804,1857.2757598239066,1861.1271435039048,1856.4399773025539,1848.4093197273562,1851.8138576008375,1871.6596616402144,1905.3489738742164,1936.614245924399,1968.725615982138,2000.8077509024683,2019.51525716577,2031.033697855194,2045.777693396597,2076.987759080235,2120.760206535935,2156.9360921051198,2201.389300445813,2250.1406371029198,2311.0042149716382,2360.923493217855,2390.4445307163805,2414.6300826591187,2413.550375924435,2436.781184114715,2441.6982584569155,2484.8498052345644,2509.6517233817613,2536.151110383791,2549.400619083066,2564.977771227667,2575.543849198421,2580.2848037903636,2568.4050953998676,2563.917547541997,2543.356533904989,2533.961378783071
