RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022
2157,620,Burleigh County,county,ND,ND,"Bismarck, ND",38,15,566.5849643,575.9519549,583.724523,,589.9111706,581.9571516,566.6408069,567.2678648,,562.0746226,565.9611034,560.4047675,565.1255687,559.8688429,563.503639,551.4024295,556.0145753,559.4383898,559.3197953,550.1373229,537.2082373,534.4745245,527.3229733,540.0056605,549.2289478,554.7628148,549.7104842,545.3712364,549.378416,558.0288718,530.3083608,541.5383257,534.723737,567.7782891,562.6425018,578.5075351,579.7669847,580.4258829,574.1164326,575.5776225,581.8625452,622.075681,631.9890812,631.8695937,593.3985221,576.4920462,585.2214111,592.7585933,607.2439136,607.3306192,613.5090607,625.5345757,625.7979225,618.3225151,611.3716641,608.1149723,612.2191741,610.8314816,611.0136534,604.6680756,608.3665108,606.4661493,611.2594064,604.2061704,610.4367326,619.7081173,631.6097347,637.3222159,629.7466959,632.4993902,632.1735268,630.5778384,640.9814423,647.7170165,656.0732418,641.686706,638.5010252,647.6605615,666.0980622,667.5368673,664.624533,,675.7938113,674.6704697,657.8465058,660.831148,,675.9163837,689.5086291,703.125,714.9163109
2780,621,Limestone County,county,AL,AL,"Huntsville, AL",1,83,1025.802307,1018.400441,1033.755882,1034.74645,1035.721971,1014.466903,1014.51983,1023.699142,1042.400083,1030.386596,1032.799813,1033.066124,1046.393669,1047.427994,1054.37549,1056.662791,1056.208518,1066.408809,1096.313471,1119.960738,1115.388214,1095.559355,1084.923924,1101.123724,1111.18815,1105.920276,1104.088158,1098.181786,1117.859344,1114.931283,1126.953475,1123.634024,1138.269515,1164.695283,1187.069629,1174.115634,1146.234539,1127.185276,1136.511172,1145.392482,1165.395922,1178.944111,1199.287205,1193.389558,1208.675435,1220.214111,1215.456191,1206.871936,1198.47769,1237.966242,1246.948904,1261.860013,1272.875356,1297.203332,1336.264756,1310.795176,1330.295255,1321.975552,1365.112463,1363.10913,1363.767426,1382.639967,1396.804997,1394.669259,1412.127416,1419.937522,1495.536734,,1513.498862,1507.540301,1546.88195,1572.637966,1590.444352,1602.203363,1631.17052,1649.165957,1661.228347,1670.114659,1688.053554,1710.767451,1690.018684,1693.927446,1745.507976,1815.015835,1844.153886,1784.616109,1774.530593,1758.204318,1779.94259,1798.619048,1789.037542
2846,622,Sherburne County,county,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27,141,1031.391794,1054.570058,,1051.837853,1048.282581,1059.344663,1043.313182,1045.101247,1037.107475,1070.838857,1067.785272,,1060.168462,1071.510072,1079.273839,1094.700453,1100.489326,1109.599054,1208.440529,1225.625276,1234.723306,1144.02726,1134.106156,1149.315201,1162.415978,1168.588912,1157.784649,1164.918292,1174.923068,1195.850062,1181.793638,1181.291831,1159.225264,1171.608509,1185.042639,1198.994885,1200.217571,1208.123234,1222.707761,1230.900984,1222.249798,1221.64093,1229.893085,1257.220363,1257.469794,1246.42052,1227.483874,1243.090583,1263.374063,1265.450325,1257.306296,1254.783076,1264.462587,1268.607485,1286.40034,1278.980324,1285.481206,1276.147586,1304.014819,1312.269208,1345.989338,1322.519589,1326.504966,1298.670624,1293.774953,1274.237553,1284.925974,1301.15602,,1310.345924,1347.950042,1405.091268,1411.194309,1406.367966,1428.032992,1446.887266,1466.459545,1458.079131,1459.49436,1420.940675,1426.908032,1464.783534,1500.962729,1501.323408,1488.181215,1394.333115,1470.926653,1550.640111,1747.010661,1744.2,1719.751092
906,623,Cabell County,county,WV,WV,"Huntington-Ashland, WV-KY-OH",54,11,464.8845136,470.7204149,464.7744157,464.3551442,,495.500106,497.2923561,,,496.2384917,503.9036951,513.2806705,513.903176,497.0934725,491.0618751,483.5180671,488.2130129,488.1170652,492.6074601,486.0054588,,580.2027725,634.9081056,688.1536129,602.6283171,594.9730334,596.2509646,597.8643645,609.5661426,576.8238322,586.424595,601.4035399,650.0480836,654.0629119,649.2092715,,628.6288299,636.8364691,642.6504284,669.8564463,656.4994728,659.4792427,664.1670329,678.0924987,672.60952,667.391426,657.5443694,661.2989121,660.9703101,667.8820604,666.771495,672.6812085,672.7259805,678.0083693,686.9970576,689.3859467,689.5699767,682.1449196,685.2446036,686.1849426,693.4122748,693.4039992,700.4199992,678.6171906,709.4491616,713.6932442,751.8037284,734.6358507,764.8681257,764.1885099,765.9010646,754.4855316,758.0789364,750.2284165,748.1608393,752.9929512,776.6505209,797.8711956,803.273342,797.1677194,819.6237797,823.3818916,837.1557528,806.9644272,840.4273321,841.9279212,849.4359517,828.5277589,844.6445917,850.0793651,851.174279
185,624,Hunt County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,231,719.6368842,743.0319545,757.8394102,755.9117991,737.1456211,737.994869,744.9274479,760.8725316,772.7352607,773.602931,771.4757185,766.4970785,772.5675786,788.2196078,799.0481258,764.064045,770.2414122,756.3077431,809.5173319,819.0765771,845.7014045,836.615797,845.202559,856.2833941,841.5380293,847.9159846,852.5603258,881.4568839,883.0184573,881.7221017,890.5023761,889.5592987,888.4297491,887.3175683,915.546319,919.3907723,934.6687836,916.9884837,932.4298821,930.573951,927.3957099,929.7635294,931.7416801,951.5290084,954.9588694,967.9248574,963.7134344,970.3367088,974.4898539,969.2820449,977.1604696,948.7797368,973.8487432,985.5074106,1023.454128,1026.142358,1020.482648,1025.118707,1028.63101,1037.383781,1048.845282,1040.88885,1026.96485,1022.088678,1033.161036,1058.307594,1087.970132,1097.389199,1117.049099,1205.806789,1249.034739,1263.272514,1188.371353,1179.188329,1166.285109,1179.595227,1204.87032,1235.427874,1248.490215,1295.309009,1370.128845,1581.512512,1601.750163,1656.056624,1481.278802,1485.955378,1477.114917,1524.921128,1556.092345,1571.333333,1565.317485
1998,626,Roanoke County,county,VA,VA,"Roanoke, VA",51,161,779.091378,768.8977504,,780.4467762,784.2051081,773.444674,767.7037971,767.8064525,790.7874992,790.9446653,806.2330864,799.7274365,816.5161604,807.4367463,805.7888976,793.2493925,795.5568805,798.8487013,793.049331,799.9391093,805.3108117,815.347128,815.6032771,,834.9885943,841.7114628,835.1876045,834.7277029,840.3366665,853.0833322,841.4613065,842.0849694,798.8681416,826.0183259,831.3051466,843.5527975,850.4380904,863.5615355,915.7399847,925.0725541,922.4959095,934.3320586,934.3592646,933.322209,920.8209947,909.5852388,913.0633211,912.3526304,931.7707253,950.2451037,999.1048183,998.5405155,1005.506638,1034.115073,1042.80668,1042.43727,979.2118811,986.5584631,1012.07889,1054.034015,1066.348283,1057.61636,1040.95184,1039.441302,1051.154176,1055.484411,1064.283463,1058.42488,1053.959272,1066.7768,1080.825212,1179.558456,1190.562019,1189.47235,1122.149351,1143.276758,1171.733937,1196.666272,1217.080769,1257.259726,1262.159843,1254.338303,1269.492398,1227.773375,1281.005148,1294.614871,1390.200033,1437.78947,1468.965772,1498.791667,1465.083917
1033,627,Geauga County,county,OH,OH,"Cleveland-Elyria, OH",39,55,316.7020703,340.9577042,326.4139755,366.1877179,379.0402634,396.1418204,388.1634507,367.4162429,328.4280535,332.6370482,345.8430846,,373.0701635,374.7888907,364.4590497,416.9383729,432.3530396,485.3605918,444.5486938,448.6360518,422.9898367,,450.7445243,356.2855763,,,,1001.241092,1040.177825,1055.262034,1007.840974,978.8538255,968.6701155,,1059.605222,1146.726609,1161.156283,1210.572184,1161.803386,1188.16313,1087.665853,1097.601492,1032.505928,1046.499882,990.3025189,1051.183715,1075.381124,1162.508785,1179.295833,1181.698516,1167.579179,1150.719319,1132.430206,1108.578026,1052.215079,970.240441,980.2688126,1034.642515,1025.599664,1103.990681,,1411.963996,1412.545692,1351.065086,1491.337781,1500.327741,1442.82991,1366.745538,1404.168424,1420.381408,1305.243037,1322.545458,1349.452906,1560.714266,1632.677376,1718.651172,1697.210838,1694.062764,1733.603002,1791.967886,1774.394143,1993.975118,2054.514189,2144.01102,,1790.74295,1824.5783,,1979.707676,1970.833333,2042.703967
3216,628,Pottawattamie County,county,IA,IA,"Omaha-Council Bluffs, NE-IA",19,155,672.3566669,678.215717,,674.702469,675.4187844,702.2321308,710.423505,704.174795,687.0172911,,627.9630636,647.42828,740.294599,756.7945251,773.7995841,777.0162048,766.9349759,766.7276973,,761.8748819,759.5317303,761.3273068,755.7667194,761.5812269,770.5221633,786.0088651,787.1029045,787.8101243,,,783.1787708,775.7898163,,769.9529179,764.6746138,765.5657935,784.6805098,788.3961611,797.0896859,799.2457719,812.962402,810.0095986,801.2236263,795.7605599,788.2101749,791.3923374,802.1627899,818.8989249,824.4828576,,781.7621266,816.6271237,,941.7491324,937.036259,950.6127617,948.2840033,952.6612594,935.2452053,930.4314656,1031.842507,1065.118441,1111.313124,1026.05186,1032.482177,1034.763573,1049.961827,1042.601423,1040.629094,1021.203792,1016.541381,,1013.612807,1026.468526,1055.403278,1078.621198,1097.58438,1088.262814,1086.733891,1092.558814,1129.763287,1133.414052,1131.398943,1134.374477,1146.325562,1165.94289,1170.617522,1181.114991,1175.567618,1175.72619,1179.013386
399,629,Bowie County,county,TX,TX,"Texarkana, TX-AR",48,37,219.3776764,,223.2371573,232.1841789,,230.0264043,229.5818524,237.403245,240.0711859,,230.2088096,234.0010277,235.5446127,237.2370675,235.3412191,234.239668,233.167304,233.9106776,238.8573602,244.6299818,244.7648914,266.5070368,251.9508235,276.1481775,270.722176,302.9757248,298.1970305,302.1564486,301.8719156,304.9108083,300.2125211,,,310.0889603,302.9588591,247.8262422,308.9033418,384.8695211,,668.9348717,716.2652029,627.2403726,633.2430271,639.7859345,650.6540096,650.1275941,646.8513343,651.0309605,659.1270795,676.3869316,682.8460974,682.3152615,682.7791641,672.8684261,653.8858166,655.4905818,,691.5082231,695.7134018,714.6107244,697.3565858,697.5409835,710.8739845,707.8306972,752.7186709,737.2847968,755.3478036,766.4257281,782.8400925,791.2400652,766.9000915,776.7778139,804.021983,,800.9719751,807.8538434,,831.794217,822.0743576,,873.8011506,904.3949494,881.816622,845.1018875,862.4361968,872.1185664,890.2086543,872.5447356,895.8448862,920,905.3193513
2952,630,Lauderdale County,county,AL,AL,"Florence-Muscle Shoals, AL",1,77,557.5275346,574.1390658,560.2477283,547.0519019,545.243012,493.6258964,,,598.3442996,,,,,636.1575186,630.3933116,637.7919346,634.2594759,642.6930651,643.4240335,649.9209446,645.9365689,660.6540594,658.9881571,664.4773799,602.6846413,640.2393583,667.5929285,776.095791,755.0082018,757.341123,727.9223387,737.3512653,735.2543188,731.9272891,736.8264644,726.2171282,742.5796641,733.1793104,746.9634047,810.9072421,843.6681965,869.563114,810.6495798,806.104134,795.3617365,790.401298,775.4857734,781.47151,792.3657178,810.8856315,828.5511642,833.7087713,837.0324511,830.4893797,833.5982133,837.8816577,828.6388198,817.1689184,817.8077696,826.4359974,844.7518857,844.3510663,847.1934562,830.2819759,838.2512975,839.6085895,852.2052824,873.353357,872.4825564,896.0568914,899.3863025,915.551602,915.9516195,902.7708236,899.6289466,903.2954789,888.0791893,927.3764631,942.3189139,972.4294175,981.2932912,1007.253988,1028.882087,1051.984125,1018.219752,1072.005343,1055.185091,1133.156594,1101.259087,1126.746032,1172.877925
